               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              0.0392,            0.031953,           0.0089117,             0.58204,             0.69555,             0.58305,             0.36843,            0.033136,            0.018729,           0.0085851,           0.0044246,           0.0044246,            0.058925
                  57,            0.040794,            0.032821,           0.0090762,                0.43,             0.60589,             0.49404,             0.29825,            0.036435,            0.019158,            0.008366,           0.0044978,           0.0044978,            0.058198
                  58,            0.041706,            0.032894,           0.0097913,             0.52506,             0.52256,             0.50045,             0.29159,            0.039026,            0.018695,            0.008678,           0.0045708,           0.0045708,            0.057471
                  59,            0.045854,            0.031855,           0.0085956,             0.54329,             0.59724,             0.56651,             0.40033,            0.034267,            0.018371,           0.0088334,           0.0046436,           0.0046436,            0.056744
                  60,             0.04093,            0.031068,            0.010687,             0.53169,             0.71986,             0.59314,             0.41101,            0.031601,            0.018855,           0.0089361,           0.0047161,           0.0047161,            0.056016
                  61,            0.039222,            0.031474,           0.0096764,             0.57496,             0.61128,             0.57308,             0.34292,            0.030737,             0.01886,             0.00874,           0.0047884,           0.0047884,            0.055288
                  62,            0.038487,            0.032465,           0.0095524,             0.47611,               0.667,             0.52121,             0.30348,             0.03629,            0.018829,           0.0088103,           0.0048604,           0.0048604,             0.05456
                  63,            0.049751,            0.032151,           0.0094936,              0.3607,             0.71889,             0.45413,             0.27875,            0.037292,            0.020076,           0.0095751,           0.0049322,           0.0049322,            0.053832
                  64,            0.045138,            0.032823,            0.009417,             0.48962,             0.60584,             0.51419,             0.33929,            0.048452,            0.017217,           0.0093745,           0.0050037,           0.0050037,            0.053104
                  65,            0.051694,            0.027473,           0.0094421,             0.32006,             0.73223,             0.48917,              0.3281,            0.033985,            0.019435,           0.0093707,            0.005075,            0.005075,            0.052375
                  66,            0.041811,            0.027087,           0.0092652,             0.48617,             0.68345,             0.56763,              0.3936,            0.033938,             0.01958,           0.0091886,           0.0051459,           0.0051459,            0.051646
                  67,            0.045564,            0.032374,           0.0098584,             0.51833,             0.56966,             0.56525,             0.34404,            0.033869,            0.018667,           0.0087383,           0.0052167,           0.0052167,            0.050917
                  68,            0.043027,            0.029695,           0.0091359,             0.44841,             0.76517,             0.59491,             0.41319,            0.030151,            0.019541,           0.0090697,           0.0052871,           0.0052871,            0.050187
                  69,             0.04619,            0.034265,            0.007842,             0.56025,              0.6575,             0.57115,             0.36671,            0.033548,            0.018599,           0.0087933,           0.0053573,           0.0053573,            0.049457
                  70,            0.044881,            0.032187,            0.010535,             0.47122,             0.77614,             0.55313,             0.37453,            0.033478,            0.018507,            0.008804,           0.0054272,           0.0054272,            0.048727
                  71,            0.037886,            0.031764,           0.0087836,             0.44106,             0.70345,             0.48445,             0.33098,            0.033213,            0.018529,           0.0087982,           0.0054968,           0.0054968,            0.047997
                  72,            0.040572,            0.031332,           0.0098064,             0.46343,             0.74468,             0.51829,             0.35009,            0.032205,            0.019508,           0.0092308,           0.0055661,           0.0055661,            0.047266
                  73,            0.038744,            0.031439,           0.0087883,             0.44767,             0.70441,             0.55819,             0.38882,            0.028371,            0.019497,           0.0092011,           0.0056351,           0.0056351,            0.046535
                  74,            0.041197,            0.028288,           0.0092839,             0.46962,             0.75516,             0.59134,             0.38345,            0.032363,            0.018261,           0.0085244,           0.0057038,           0.0057038,            0.045804
                  75,            0.039346,            0.029582,            0.010205,             0.50645,             0.60641,             0.58087,             0.40764,            0.026833,            0.018767,           0.0088364,           0.0057723,           0.0057723,            0.045072
                  76,            0.034053,            0.028409,           0.0081336,             0.56198,             0.60924,             0.54517,             0.35487,            0.030627,            0.018531,           0.0087436,           0.0058404,           0.0058404,             0.04434
                  77,            0.039992,            0.029504,           0.0084342,             0.56464,              0.5873,             0.55553,              0.3514,            0.037337,            0.017998,           0.0088471,           0.0059082,           0.0059082,            0.043608
                  78,            0.043845,            0.029711,           0.0097854,             0.66647,             0.63839,             0.61119,             0.41135,            0.031862,            0.018819,           0.0089402,           0.0059758,           0.0059758,            0.042876
                  79,            0.040162,            0.026688,           0.0087307,              0.6005,             0.62694,              0.6012,              0.4309,             0.02795,            0.019487,           0.0092819,            0.006043,            0.006043,            0.042143
                  80,            0.036644,            0.030292,           0.0094808,             0.53467,             0.61779,             0.54804,              0.4015,            0.027248,            0.018698,           0.0085626,           0.0061099,           0.0061099,             0.04141
                  81,            0.039297,            0.028198,           0.0098875,             0.53192,             0.62061,              0.5432,             0.39173,            0.029442,            0.018344,           0.0086482,           0.0061764,           0.0061764,            0.040676
                  82,             0.03507,            0.030088,           0.0078696,             0.50393,              0.7125,             0.58178,             0.41372,            0.031568,            0.018241,           0.0084492,           0.0062427,           0.0062427,            0.039943
                  83,            0.037809,             0.02795,           0.0084069,             0.50975,              0.6767,             0.60768,             0.46256,            0.027289,            0.018629,           0.0085777,           0.0063086,           0.0063086,            0.039209
                  84,            0.036584,            0.028838,            0.009171,              0.6709,             0.51062,              0.5959,             0.40028,            0.032904,            0.018122,           0.0085242,           0.0063742,           0.0063742,            0.038474
                  85,            0.039017,            0.030204,           0.0083597,             0.49789,             0.75498,             0.60307,             0.41842,            0.027441,             0.01886,           0.0086883,           0.0064395,           0.0064395,            0.037739
                  86,            0.035505,            0.028749,           0.0094644,             0.48955,             0.78137,             0.59663,              0.4505,            0.024309,            0.019206,            0.008776,           0.0065044,           0.0065044,            0.037004
                  87,            0.035271,            0.028666,           0.0082354,             0.51469,             0.77034,             0.59633,             0.41064,            0.030469,            0.018111,           0.0082657,            0.006569,            0.006569,            0.036269
                  88,            0.041804,             0.02696,           0.0081479,              0.5181,             0.75871,             0.57904,             0.34451,            0.024786,            0.019013,           0.0082886,           0.0066333,           0.0066333,            0.035533
                  89,            0.033597,            0.029359,           0.0073332,             0.59534,             0.76319,             0.63117,             0.46231,            0.025903,            0.018345,           0.0080884,           0.0066972,           0.0066972,            0.034797
                  90,            0.037961,            0.035615,           0.0073123,             0.58929,             0.69633,             0.60923,             0.42328,            0.028354,            0.018004,           0.0080855,           0.0067607,           0.0067607,            0.034061
                  91,            0.034794,            0.027769,           0.0089273,             0.54164,             0.75549,             0.61456,             0.42289,             0.02737,            0.018282,           0.0083073,           0.0068239,           0.0068239,            0.033324
                  92,            0.035605,            0.027688,           0.0088779,             0.63131,             0.70593,              0.6365,             0.47126,            0.029357,            0.017767,           0.0080023,           0.0068868,           0.0068868,            0.032587
                  93,            0.038323,            0.029708,            0.009447,              0.5156,             0.76307,             0.62606,             0.46287,            0.026336,            0.018376,           0.0080866,           0.0069493,           0.0069493,            0.031849
                  94,            0.036218,            0.024342,            0.010284,             0.41738,              0.7249,             0.55532,             0.35646,            0.024594,            0.018595,           0.0082071,           0.0070114,           0.0070114,            0.031111
                  95,            0.033012,            0.030014,           0.0082017,             0.61137,             0.78475,              0.6277,             0.47707,            0.025532,            0.018304,           0.0078771,           0.0070732,           0.0070732,            0.030373
                  96,             0.03662,            0.031464,           0.0084078,             0.57764,             0.69944,             0.60339,             0.42644,            0.028873,            0.018343,           0.0078128,           0.0071346,           0.0071346,            0.029635
                  97,            0.037479,            0.025395,           0.0098991,              0.5837,             0.67981,             0.61461,             0.46235,            0.022787,            0.019605,           0.0086815,           0.0071956,           0.0071956,            0.028896
                  98,            0.029885,            0.031471,            0.010654,             0.65598,             0.67555,             0.61868,             0.47691,            0.023264,             0.01878,           0.0078564,           0.0072563,           0.0072563,            0.028156
                  99,            0.033289,            0.026914,           0.0081373,              0.6088,             0.68843,             0.61336,             0.44539,            0.026622,            0.018645,            0.007915,           0.0073165,           0.0073165,            0.027417
                 100,            0.036291,            0.029281,           0.0089964,             0.62936,             0.66932,             0.61518,             0.44913,             0.02752,            0.018832,           0.0078107,           0.0073764,           0.0073764,            0.026676
                 101,            0.034545,            0.032795,           0.0068426,             0.61482,             0.70007,             0.60998,             0.47805,            0.022734,            0.018399,           0.0074863,            0.007436,            0.007436,            0.025936
                 102,            0.034696,            0.027629,           0.0069262,             0.61693,              0.7037,             0.61672,             0.39027,            0.030566,            0.018223,           0.0077466,           0.0074951,           0.0074951,            0.025195
                 103,            0.036466,            0.031836,            0.007874,             0.57862,             0.74136,             0.56569,             0.42158,            0.026609,            0.018588,           0.0082038,           0.0075539,           0.0075539,            0.024454
                 104,            0.033902,            0.032852,            0.010064,             0.55535,             0.72101,             0.54996,             0.37339,            0.030047,            0.018424,           0.0081438,           0.0076122,           0.0076122,            0.023712
                 105,            0.034064,            0.028741,            0.008371,             0.55187,             0.70961,             0.57383,              0.4116,            0.028275,            0.018532,           0.0081734,           0.0076702,           0.0076702,             0.02297
                 106,            0.033111,            0.027867,           0.0076781,             0.48418,             0.70734,             0.54618,             0.36803,            0.028801,            0.017774,            0.007905,           0.0077277,           0.0077277,            0.022228
                 107,            0.035137,            0.025382,           0.0066342,             0.59102,               0.683,             0.58565,             0.44023,            0.031259,              0.0179,           0.0079824,           0.0077849,           0.0077849,            0.021485
                 108,            0.038699,             0.02837,           0.0080035,             0.66289,             0.71801,             0.61856,             0.43692,             0.02979,            0.017701,           0.0079648,           0.0078417,           0.0078417,            0.020742
                 109,            0.036012,            0.031249,           0.0082822,             0.52902,             0.74366,             0.62133,             0.44708,            0.024478,             0.01825,           0.0078141,            0.007898,            0.007898,            0.019998
                 110,            0.031405,            0.028196,           0.0092808,             0.64458,             0.64595,             0.62607,             0.43769,            0.021988,            0.018289,           0.0074434,            0.007954,            0.007954,            0.019254
                 111,            0.034296,             0.03298,           0.0075938,             0.58388,               0.781,             0.60706,             0.42842,            0.029192,            0.017781,            0.007327,           0.0080096,           0.0080096,             0.01851
                 112,            0.034963,            0.030453,           0.0074067,             0.64088,              0.5915,             0.61464,             0.40946,             0.02838,            0.017824,           0.0074557,           0.0080647,           0.0080647,            0.017765
                 113,             0.03336,            0.029055,           0.0080226,             0.62519,             0.67217,             0.60535,             0.39246,            0.026865,            0.018419,           0.0079074,           0.0081194,           0.0081194,            0.017019
                 114,            0.034249,            0.026886,           0.0085153,             0.61746,             0.68053,             0.58709,             0.40729,            0.027328,            0.018539,            0.007953,           0.0081737,           0.0081737,            0.016274
                 115,            0.034661,            0.029996,           0.0074201,             0.57066,             0.72376,             0.60547,             0.43983,            0.028608,            0.018355,            0.007531,           0.0082276,           0.0082276,            0.015528
                 116,            0.033823,            0.026639,           0.0087406,             0.56643,             0.70707,             0.61135,             0.38243,            0.025926,            0.018525,           0.0075175,            0.008281,            0.008281,            0.014781
                 117,             0.03213,            0.029448,           0.0089521,             0.55263,             0.72909,              0.5892,             0.39336,            0.030233,            0.018407,           0.0073488,           0.0083341,           0.0083341,            0.014034
                 118,            0.036211,            0.028944,           0.0077942,             0.54137,              0.6857,             0.58341,             0.40212,            0.029953,            0.018608,           0.0071523,           0.0083867,           0.0083867,            0.013287
                 119,            0.030147,            0.029116,           0.0078727,             0.59885,             0.68485,             0.61706,             0.48168,            0.022068,            0.019025,           0.0074232,           0.0084389,           0.0084389,            0.012539
                 120,            0.030598,            0.029879,           0.0078091,             0.47897,             0.68076,             0.58663,             0.35316,            0.029229,            0.020089,           0.0077711,           0.0084906,           0.0084906,            0.011791
                 121,            0.038101,            0.031687,           0.0064921,             0.59769,              0.6982,             0.61537,             0.43358,            0.026997,            0.018579,           0.0072044,           0.0085419,           0.0085419,            0.011042
                 122,            0.037888,            0.031749,           0.0078517,             0.51604,             0.64786,             0.53243,             0.38421,            0.029145,            0.018772,           0.0080969,           0.0085928,           0.0085928,            0.010293
                 123,            0.033321,            0.032445,           0.0076182,             0.52781,              0.6811,             0.55386,              0.3879,            0.029195,            0.018519,           0.0081228,           0.0086432,           0.0086432,           0.0095432
                 124,            0.031805,            0.027063,           0.0069664,              0.4499,             0.70309,             0.57709,             0.39265,             0.02675,            0.017955,           0.0074719,           0.0086932,           0.0086932,           0.0087932
                 125,            0.031374,            0.029203,           0.0066269,             0.58165,             0.66547,             0.61521,             0.48589,            0.021705,            0.018503,           0.0073294,            0.008682,            0.008682,            0.008682
